dataset,scenario,method,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,runs,gate_mean,delta_abs_mean
PEMS-BAY,sensor_failure_30,FailureAnomalyGuard,0.9923087168352583,0.1309124081738587,1.777869281384665,0.19927272058700352,12,0.5311806520907517,0.027358611807711392
PEMS-BAY,sensor_failure_30,GenericAdapter,0.9986175687044566,0.13435098729111716,1.7840145733961874,0.20027249678748593,12,1.0,0.030021770560912573
PEMS-BAY,sensor_failure_30,RePAC,0.9781211858794081,0.11956092771667569,1.7609348709034842,0.1822131763226916,12,,
PEMS-BAY,sensor_failure_30,Target Backbone,0.9886372595777676,0.13046819974306137,1.7723178694730535,0.1988141713631,12,,
PEMS03,incident_perturbation,CalibrationGuard,0.2667394507008717,0.04476835466075075,0.36880842292340565,0.05884570025059942,12,0.5691056301028721,0.04701205296395399
PEMS03,incident_perturbation,DoRAAdapter,0.2705819825935422,0.04815679316219455,0.3742220210824487,0.06242272069517449,12,1.0,0.02632023989872173
PEMS03,incident_perturbation,FailureAnomalyGuard,0.26756955498969304,0.04691980569098283,0.3699555538061134,0.06173951214664055,12,0.5807967113905103,0.04552762501760801
PEMS03,incident_perturbation,GenericAdapter,0.26178193408263595,0.04227697433590819,0.36224270109097373,0.05530391674118979,12,1.0,0.041839784506746934
PEMS03,incident_perturbation,RePAC,0.24854630895717922,0.03744408835914292,0.3452180018499089,0.05617048747808955,12,,
PEMS03,incident_perturbation,Target Backbone,0.2764220310436822,0.048605005468073746,0.3810416257210671,0.06606225902861121,12,,
PEMS03,random_missing_50,CalibrationGuard,0.2552875392971999,0.04749491131556258,0.3525443431132346,0.06399409383634265,12,0.5755480650089602,0.055410877666443314
PEMS03,random_missing_50,DoRAAdapter,0.2591012673774864,0.050746216127757184,0.357882376263712,0.06804655057505772,12,1.0,0.032924638542602365
PEMS03,random_missing_50,FailureAnomalyGuard,0.25681850020472674,0.049493542520000045,0.35461140535708796,0.0665782200495215,12,0.5817955828705119,0.05151517493205552
PEMS03,random_missing_50,GenericAdapter,0.250470469201137,0.04522777706346102,0.34616843133993386,0.0604370527257184,12,1.0,0.044080066067517826
PEMS03,random_missing_50,RePAC,0.233308754381612,0.04440518313100935,0.32597954699645676,0.06340496415559195,12,,
PEMS03,random_missing_50,Target Backbone,0.265807019104454,0.05099949165117292,0.36642382134385304,0.07204931816853827,12,,
PEMS03,sensor_failure_30,CalibrationGuard,0.5756226827133565,0.18043581665135128,0.7721900725206091,0.17674035810592065,12,0.5417135152159863,0.029337408221605566
PEMS03,sensor_failure_30,DoRAAdapter,0.5760003152954905,0.17876802569247,0.7716829177636183,0.17451939010212011,12,1.0,0.013199427706347683
PEMS03,sensor_failure_30,FailureAnomalyGuard,0.5749588329596436,0.18021455985921453,0.7716804876793949,0.1764535813573397,12,0.5683649603822892,0.03878472873850152
PEMS03,sensor_failure_30,GenericAdapter,0.5726892504984221,0.1797488354062708,0.7700801485993373,0.17647237394612858,12,1.0,0.0325548517617357
PEMS03,sensor_failure_30,RePAC,0.5505680653330115,0.16339355010289694,0.740552115685618,0.16341834469154545,12,,
PEMS03,sensor_failure_30,Target Backbone,0.5794682065357012,0.1807337712660139,0.7754560602320238,0.17697126631433766,12,,
PEMS04,incident_perturbation,CalibrationGuard,0.3505913557610483,0.06104750586610777,0.4981876639107498,0.09139104792354047,12,0.5474345098042271,0.03868652101262781
PEMS04,incident_perturbation,DoRAAdapter,0.3540348307018652,0.06195405335160137,0.5031519013379293,0.09256621043384711,12,1.0,0.022836282355255626
PEMS04,incident_perturbation,FailureAnomalyGuard,0.35092235800313865,0.061340977875041135,0.4989654410370219,0.09164692020106915,12,0.5689851264099198,0.04190266903519713
PEMS04,incident_perturbation,GenericAdapter,0.3451547381199247,0.0597432248664462,0.49235360761872715,0.08990094041346583,12,1.0,0.03900818464176287
PEMS04,incident_perturbation,RePAC,0.3256315139833395,0.05754999785258962,0.46816942713175025,0.094030705057485,12,,
PEMS04,incident_perturbation,Target Backbone,0.35849681363996866,0.06266893457492995,0.5070568625593682,0.09411348310392863,12,,
PEMS04,random_missing_50,CalibrationGuard,0.333555626534007,0.0654732393603901,0.4735529362149131,0.09852550725648224,12,0.5457540687926978,0.04323468586319403
PEMS04,random_missing_50,DoRAAdapter,0.3370096356713687,0.06674767657462183,0.4781285531273272,0.0999000925200365,12,1.0,0.022891286568405136
PEMS04,random_missing_50,FailureAnomalyGuard,0.3340257676379422,0.06662914303559461,0.47448770564893433,0.09966232139446786,12,0.5674772425229054,0.04466206798502977
PEMS04,random_missing_50,GenericAdapter,0.32822707650446276,0.06404538483553071,0.46748236570969254,0.09596865221385872,12,1.0,0.042678883761618186
PEMS04,random_missing_50,RePAC,0.31031020621364086,0.06451339122868541,0.44538792742705846,0.10467140415697024,12,,
PEMS04,random_missing_50,Target Backbone,0.3417518660389071,0.06754667402017836,0.48313586798552005,0.10311543640760733,12,,
PEMS04,sensor_failure_30,CalibrationGuard,0.632476180071992,0.16950355419700888,0.8735858016522619,0.18221221398131726,12,0.5479858171152799,0.025268788594938463
PEMS04,sensor_failure_30,DoRAAdapter,0.6322654932977304,0.16924250678049682,0.8732179920579469,0.18132465886085253,12,1.0,0.0158462247026907
PEMS04,sensor_failure_30,FailureAnomalyGuard,0.6316281040701505,0.16947342889512101,0.8724234038841786,0.18214638009286985,12,0.569544594069034,0.025781407544386306
PEMS04,sensor_failure_30,GenericAdapter,0.6288933899859491,0.16813183084506725,0.8704456148243825,0.18024271087334315,12,1.0,0.028046519380068788
PEMS04,sensor_failure_30,RePAC,0.5902046719610979,0.1533507945565326,0.82900764384607,0.16386940683459614,12,,
PEMS04,sensor_failure_30,Target Backbone,0.636871964459258,0.1711505955017013,0.877786689739608,0.1843309627486279,12,,
PEMS08,incident_perturbation,CalibrationGuard,0.2615803725257608,0.03521687162921478,0.35086419900468613,0.04148711830661527,12,0.5318018008863522,0.02436949354672599
PEMS08,incident_perturbation,DoRAAdapter,0.26368382071035296,0.03648931387131745,0.35373706163894325,0.0435444216892668,12,1.0,0.010984407736984591
PEMS08,incident_perturbation,FailureAnomalyGuard,0.262311639674294,0.03550552833365986,0.3517461155707682,0.04210352990759307,12,0.5477531998159361,0.024543826515835476
